time,angle,error,ppo_action,adjustment
1748785295.9986913,0.0,-0.27,[[-1.]],-0.5
1748785296.0905406,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785296.1984756,0.22,0.0,[[-0.21665598]],-0.21665598452091217
1748785296.3052158,0.25,0.0,[[-0.21665598]],-0.21665598452091217
1748785296.4146895,0.23,0.0,[[-0.21665598]],-0.21665598452091217
1748785296.5191114,0.21,0.0,[[-0.21665598]],-0.21665598452091217
1748785296.6304228,0.21,0.0,[[-0.21665598]],-0.21665598452091217
1748785296.7329216,0.23,0.0,[[-0.21665598]],-0.21665598452091217
1748785296.8361084,0.22,0.0,[[-0.21665598]],-0.21665598452091217
1748785296.9434383,0.21,0.0,[[-0.21665598]],-0.21665598452091217
1748785297.0501876,0.21,0.0,[[-0.21665598]],-0.21665598452091217
1748785297.1567345,0.21,0.0,[[-0.21665598]],-0.21665598452091217
1748785297.2633104,0.22,0.0,[[-0.21665598]],-0.21665598452091217
1748785297.369912,0.21,0.0,[[-0.21665598]],-0.21665598452091217
1748785297.4766574,0.21,0.0,[[-0.21665598]],-0.21665598452091217
1748785297.5831046,0.21,0.0,[[-0.21665598]],-0.21665598452091217
1748785297.6897256,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785297.7951567,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785297.9017518,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785298.0090127,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785298.1150124,0.21,0.0,[[-0.21665598]],-0.21665598452091217
1748785298.221605,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785298.3282743,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785298.4335437,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785298.5415058,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785298.6469119,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785298.7535253,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785298.8601346,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785298.9667149,0.19,0.0,[[-0.21665598]],-0.21665598452091217
1748785299.073365,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785299.180133,0.19,0.0,[[-0.21665598]],-0.21665598452091217
1748785299.286664,0.19,0.0,[[-0.21665598]],-0.21665598452091217
1748785299.3937254,0.18,0.0,[[-0.21665598]],-0.21665598452091217
1748785299.4993112,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785299.606882,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785299.7112734,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785299.82005,0.19,0.0,[[-0.21665598]],-0.21665598452091217
1748785299.927983,0.19,0.0,[[-0.21665598]],-0.21665598452091217
1748785300.0312388,0.19,0.0,[[-0.21665598]],-0.21665598452091217
1748785300.1392903,0.19,0.0,[[-0.21665598]],-0.21665598452091217
1748785300.2443638,0.19,0.0,[[-0.21665598]],-0.21665598452091217
1748785300.3483932,0.19,0.0,[[-0.21665598]],-0.21665598452091217
1748785300.4585972,0.18,0.0,[[-0.21665598]],-0.21665598452091217
1748785300.5658765,0.18,-0.09,[[-0.67914796]],-0.5
1748785300.6695,0.18,0.0,[[-0.21665598]],-0.21665598452091217
1748785300.7761257,0.18,0.0,[[-0.21665598]],-0.21665598452091217
1748785300.8814175,0.18,0.0,[[-0.21665598]],-0.21665598452091217
1748785300.9881322,0.19,0.0,[[-0.21665598]],-0.21665598452091217
1748785301.0947385,0.19,0.0,[[-0.21665598]],-0.21665598452091217
1748785301.201362,0.19,0.0,[[-0.21665598]],-0.21665598452091217
1748785301.3079581,0.19,0.0,[[-0.21665598]],-0.21665598452091217
1748785301.4145982,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785301.5211692,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785301.6265848,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785301.7331367,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785301.8398263,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785301.946419,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785302.053025,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785302.159651,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785302.2663693,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785302.3716378,0.21,0.0,[[-0.21665598]],-0.21665598452091217
1748785302.4783473,0.21,0.0,[[-0.21665598]],-0.21665598452091217
1748785302.5854087,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785302.6915548,0.21,0.0,[[-0.21665598]],-0.21665598452091217
1748785302.7982047,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785302.904803,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785303.01139,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785303.1180499,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785303.2248166,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785303.3312285,0.2,0.0,[[-0.21665598]],-0.21665598452091217
1748785303.4366188,0.19,0.0,[[-0.21665598]],-0.21665598452091217
