time,angle,error,ppo_action,adjustment
1748783810.9163852,0.0,-0.17,[[-0.72561365]],-0.5
1748783810.9332995,-0.08,-0.26,[[-1.]],-0.5
1748783810.94595,-0.08,-0.25,[[-1.]],-0.5
1748783810.9584763,-0.06,-0.24,[[-1.]],-0.5
1748783810.9984295,-0.04,-0.21,[[-1.]],-0.5
1748783811.103841,-0.04,-0.21,[[-1.]],-0.5
1748783811.2136488,-0.04,-0.22,[[-1.]],-0.5
1748783811.3217177,-0.03,-0.21,[[-1.]],-0.5
1748783811.428189,-0.03,-0.2,[[-0.9839719]],-0.5
1748783811.53607,-0.03,-0.2,[[-0.9839719]],-0.5
1748783811.6440246,-0.03,-0.2,[[-0.9839719]],-0.5
1748783811.7519257,-0.03,-0.2,[[-0.9839719]],-0.5
1748783811.8583984,-0.02,-0.2,[[-0.9839719]],-0.5
1748783811.966245,-0.02,-0.2,[[-0.9839719]],-0.5
1748783812.0728862,-0.03,-0.2,[[-0.9839719]],-0.5
1748783812.180809,-0.02,-0.19,[[-0.8983024]],-0.5
1748783812.2886715,-0.01,-0.19,[[-0.8983024]],-0.5
1748783812.3966744,-0.01,-0.18,[[-0.81216973]],-0.5
1748783812.5031502,-0.01,-0.19,[[-0.8983024]],-0.5
1748783812.6102176,-0.01,-0.18,[[-0.81216973]],-0.5
1748783812.717738,-0.0,-0.18,[[-0.81216973]],-0.5
1748783812.8255548,0.0,-0.17,[[-0.72561365]],-0.5
1748783812.9336169,-0.0,-0.17,[[-0.72561365]],-0.5
1748783813.038645,0.0,-0.17,[[-0.72561365]],-0.5
1748783813.147951,0.0,-0.17,[[-0.72561365]],-0.5
1748783813.259877,0.0,-0.17,[[-0.72561365]],-0.5
1748783813.3641207,0.0,-0.17,[[-0.72561365]],-0.5
1748783813.4698355,0.0,-0.17,[[-0.72561365]],-0.5
1748783813.579544,0.01,-0.16,[[-0.63867503]],-0.5
1748783813.6861813,0.01,-0.16,[[-0.63867503]],-0.5
1748783813.7939723,0.01,-0.16,[[-0.63867503]],-0.5
1748783813.9009712,0.01,-0.16,[[-0.63867503]],-0.5
1748783814.007885,0.01,-0.17,[[-0.72561365]],-0.5
1748783814.1154063,0.0,-0.17,[[-0.72561365]],-0.5
1748783814.2224326,0.0,-0.17,[[-0.72561365]],-0.5
1748783814.328399,0.01,-0.17,[[-0.72561365]],-0.5
1748783814.4375074,0.01,-0.16,[[-0.63867503]],-0.5
1748783814.5449882,0.02,-0.16,[[-0.63867503]],-0.5
1748783814.6494622,0.01,-0.16,[[-0.63867503]],-0.5
1748783814.7564898,0.01,-0.16,[[-0.63867503]],-0.5
1748783814.8644197,0.01,-0.16,[[-0.63867503]],-0.5
